10, 498.00
11, 405.00
12, 448.00
13, 349.00
14, 325.00
15, 310.00
16, 372.00
17, 281.00
18, 270.00
19, 254.00
20, 244.00
21, 232.00
22, 221.00
23, 214.00
24, 159.00
25, 239.00
26, 160.00
27, 163.00
28, 160.00
29, 160.00
30, 191.00
31, 133.00
32, 132.00
33, 119.00
34, 113.00
35, 112.00
36, 111.00
37, 110.00
38, 108.00
39, 102.00
40, 103.00
41, 103.00
42, 100.00
43, 100.00
44, 102.00
45, 100.00
46, 91.00
47, 175.00
48, 85.00
49, 88.00
50, 155.00
51, 85.00
52, 87.00
53, 85.00
54, 78.00
55, 79.00
56, 78.00
57, 147.00
58, 79.00
59, 74.00
60, 57.00
61, 71.00
62, 135.00
63, 78.00
64, 127.00
65, 112.00
66, 125.00
67, 44.00
68, 52.00
69, 41.00
70, 92.00
71, 41.00
72, 111.00
73, 38.00
74, 35.00
75, 44.00
76, 39.00
77, 39.00
78, 103.00
79, 39.00
80, 44.00
